oylik_daromad_uzs,oylik_xarajat_uzs,sof_foyda_uzs,kredit_miqdori_uzs,kredit_oylik_tolovi,soliq_qarzi_uzs,xodim_soni,biznes_yoshi_yil,kech_tolovlar_soni,sohasi,hudud,foyda_margini,qarz_daromadga_nisbati,xarajat_nisbati,kredit_yuklama,bankrotlik_riski
89792554,68295157,21497397,289492629,10526240,0,2,3,1,Savdo,Viloyat,0.23941180022566236,3.2240159802114547,0.7605881997743377,0.11722842853985421,0
199682674,194752892,4929782,416359605,18437616,40714555,28,6,5,Savdo,Toshkent,0.02468808084971859,2.085106317236116,0.9753119191502814,0.09233458081596002,1
121253977,105247928,16006049,0,0,60831481,8,8,6,Savdo,Toshkent,0.13200432180463656,0.0,0.8679956781953634,0.0,0
415530591,400941113,14589478,239132063,5281627,23188315,15,2,3,Ishlab chiqarish,Viloyat,0.035110478785423525,0.5754860609047193,0.9648895212145765,0.012710561182245185,0
128150772,132369962,-4219190,106239114,4260746,75872107,5,3,9,Xizmat,Viloyat,-0.032923640912596294,0.829016574320754,1.0329236409125964,0.03324791519788894,1
185112426,141381889,43730537,108952498,4416762,0,9,5,5,Ishlab chiqarish,Toshkent,0.2362377175047125,0.5885747399799082,0.7637622824952874,0.023859889340978116,0
95543061,85444468,10098593,368022742,17127960,0,17,12,2,Xizmat,Toshkent,0.10569677059017399,3.8519044517529117,0.894303229409826,0.17926953376551333,0
369925859,318823972,51101887,174266288,3960599,0,85,7,2,Ishlab chiqarish,Viloyat,0.13814088892877316,0.4710843639616986,0.8618591110712268,0.01070646699505265,0
313415486,427016872,-113601386,0,0,23874404,87,13,5,Ishlab chiqarish,Toshkent,-0.3624625810608478,0.0,1.3624625810608477,0.0,1
57216144,51480126,5736018,120702958,5933352,41989124,7,3,10,Xizmat,Viloyat,0.10025174013823791,2.1095961657255335,0.8997482598617621,0.10370066182719338,1
174592276,126563357,48028919,100307034,3476458,4753657,35,9,0,Ishlab chiqarish,Toshkent,0.275091888944732,0.5745216014023439,0.724908111055268,0.0199118659751019,0
138767141,145812566,-7045425,0,0,61895660,26,7,4,Ishlab chiqarish,Toshkent,-0.050771565582661965,0.0,1.050771565582662,0.0,1
123251745,143312534,-20060789,0,0,0,22,13,0,Savdo,Toshkent,-0.1627627178828178,0.0,1.1627627178828177,0.0,0
57119683,66852756,-9733073,0,0,18252216,90,7,7,Ishlab chiqarish,Toshkent,-0.17039788193502403,0.0,1.170397881935024,0.0,1
451419746,349130709,102289037,0,0,23111791,59,6,6,Ishlab chiqarish,Toshkent,0.2265940688380964,0.0,0.7734059311619036,0.0,0
433916731,423455337,10461394,0,0,7382351,22,14,6,Ishlab chiqarish,Toshkent,0.024109220162796628,0.0,0.9758907798372034,0.0,0
70513001,96337480,-25824479,279771862,10214403,73764702,1,5,1,Xizmat,Viloyat,-0.3662371283843103,3.9676635234968938,1.3662371283843102,0.14485843539689935,1
161329304,151084327,10244977,188388881,3779959,14100380,19,7,6,Savdo,Viloyat,0.06350350956699101,1.1677288398888772,0.936496490433009,0.02343008310505077,0
121594296,70958127,50636169,0,0,2682497,33,15,8,Savdo,Toshkent,0.41643539759463716,0.0,0.5835646024053628,0.0,0
83973307,51720317,32252990,288984681,10718517,0,40,5,1,Savdo,Toshkent,0.3840862192077299,3.4413874042140558,0.6159137807922701,0.1276419541271609,0
198212697,136973106,61239591,0,0,23538183,63,13,5,Ishlab chiqarish,Viloyat,0.3089589714830428,0.0,0.6910410285169573,0.0,0
205269491,216001268,-10731777,107218174,3771564,0,16,2,5,Savdo,Viloyat,-0.05228140308488415,0.5223288345368382,1.0522814030848842,0.018373719258650084,1
169522618,194477893,-24955275,0,0,23409770,43,9,1,Savdo,Viloyat,-0.14720911754678068,0.0,1.1472091175467807,0.0,1
48995897,35237955,13757942,142041226,3708400,47715659,32,4,4,Xizmat,Toshkent,0.28079783905170674,2.8990432811139266,0.7192021609482933,0.07568797036208971,1
91132631,57648459,33484172,55159040,1370562,67022646,28,1,8,Savdo,Viloyat,0.36742242194236663,0.6052611385706619,0.6325775780576334,0.015039201490846895,1
77086524,81774673,-4688149,0,0,0,23,0,3,Savdo,Toshkent,-0.060816712918590025,0.0,1.06081671291859,0.0,1
314015980,388581195,-74565215,0,0,6452654,8,7,2,Ishlab chiqarish,Toshkent,-0.2374567529970927,0.0,1.2374567529970928,0.0,0
91479541,91585023,-105482,0,0,7696552,20,10,3,Xizmat,Toshkent,-0.0011530665638123392,0.0,1.0011530665638124,0.0,0
166370242,171201354,-4831112,444392886,17947048,29308571,2,7,1,Savdo,Toshkent,-0.029038318042477813,2.6711080098086293,1.0290383180424778,0.1078741473490193,1
29873442,22057206,7816236,268404227,10249355,18160510,37,8,3,Savdo,Viloyat,0.26164497549361737,8.984710466239545,0.7383550245063826,0.34309253684259083,0
21707872,20282813,1425059,0,0,0,43,8,5,Savdo,Viloyat,0.06564710718765986,0.0,0.9343528928123401,0.0,0
255299493,288190139,-32890646,0,0,58215675,53,10,10,Ishlab chiqarish,Toshkent,-0.12883161503184026,0.0,1.1288316150318403,0.0,1
241230710,250755235,-9524525,165397220,7206814,21356184,64,5,7,Ishlab chiqarish,Viloyat,-0.039483053380724206,0.6856391543182873,1.0394830533807242,0.029875192922161526,1
426788907,452246956,-25458049,145524257,5160808,22237970,16,14,3,Ishlab chiqarish,Toshkent,-0.059650212511263796,0.34097478780065854,1.059650212511264,0.012092179331174603,1
65618990,55164274,10454716,139099358,4511441,0,46,9,6,Savdo,Toshkent,0.1593245491891905,2.1198033983759883,0.8406754508108095,0.06875206399854676,0
67568879,42855150,24713729,157223618,4176682,76701848,30,15,0,Xizmat,Toshkent,0.36575609016689475,2.3268643838238017,0.6342439098331053,0.06181369384565341,0
57662872,69203342,-11540470,419681028,20355028,71114401,33,7,6,Savdo,Viloyat,-0.20013692692934199,7.278184617651372,1.200136926929342,0.3530005928251371,1
133696209,114636066,19060143,379870706,14739915,0,46,14,4,Savdo,Viloyat,0.14256307746168032,2.841297512033419,0.8574369225383197,0.11024931155676972,0
87783456,106676839,-18893383,0,0,0,27,7,6,Xizmat,Viloyat,-0.21522714940728696,0.0,1.215227149407287,0.0,1
291407404,178995117,112412287,0,0,29747156,66,10,0,Ishlab chiqarish,Viloyat,0.38575645456146335,0.0,0.6142435454385367,0.0,0
128227771,125472427,2755344,218400809,5805672,0,25,11,5,Xizmat,Viloyat,0.021487888142421193,1.7032254970727052,0.9785121118575788,0.04527624519028721,0
416861467,556702746,-139841279,0,0,3816809,22,12,7,Ishlab chiqarish,Toshkent,-0.3354622340279775,0.0,1.3354622340279774,0.0,1
120661712,98672066,21989646,286126561,8976873,26233262,6,5,7,Savdo,Viloyat,0.1822421183614567,2.3713119618259686,0.8177578816385433,0.07439702993771545,1
303068727,170567876,132500851,0,0,31367679,24,0,3,Ishlab chiqarish,Toshkent,0.43719737206669956,0.0,0.5628026279333004,0.0,0
82691478,68562609,14128869,250769763,10419663,27098364,7,4,9,Xizmat,Toshkent,0.17086245574181175,3.032595003320657,0.8291375442581882,0.12600649126140906,1
109448638,144964203,-35515565,0,0,4419240,44,0,9,Xizmat,Viloyat,-0.3244952669031843,0.0,1.3244952669031842,0.0,1
272151579,320514084,-48362505,53396284,2428851,0,60,3,5,Ishlab chiqarish,Toshkent,-0.17770429691315515,0.19620052985252018,1.1777042969131553,0.008924625787308035,1
337021973,320589742,16432231,388929379,13202679,79058338,39,14,5,Ishlab chiqarish,Toshkent,0.048757150323845505,1.154017868739971,0.9512428496761545,0.039174534771357475,1
140015939,112823441,27192498,303468333,6330652,0,32,7,3,Savdo,Viloyat,0.1942100177609065,2.1673841933095916,0.8057899822390935,0.04521379526655176,0
88493202,96479804,-7986602,0,0,46197130,27,11,7,Xizmat,Viloyat,-0.09025102289778146,0.0,1.0902510228977815,0.0,1
392653955,388550354,4103601,0,0,0,44,7,10,Ishlab chiqarish,Viloyat,0.010450935098820028,0.0,0.98954906490118,0.0,0
125472163,151843458,-26371295,343602634,10032746,38097079,13,11,5,Xizmat,Viloyat,-0.21017645961837766,2.738477011829309,1.2101764596183777,0.07995993501761821,1
186034153,181585650,4448503,190831137,7233210,4373096,34,3,5,Ishlab chiqarish,Toshkent,0.02391229206176997,1.0257855018696487,0.9760877079382301,0.03888108652823549,0
52551394,67105486,-14554092,83897892,3283435,0,1,5,9,Xizmat,Toshkent,-0.2769496847219695,1.5964922262575947,1.2769496847219695,0.06248045484768682,1
140176288,103208352,36967936,0,0,28585623,32,9,1,Xizmat,Viloyat,0.2637246036933151,0.0,0.7362753963066849,0.0,0
224978189,163757999,61220190,75857931,2896978,0,50,1,8,Savdo,Toshkent,0.2721161116644956,0.3371790453873731,0.7278838883355043,0.012876706017044168,0
98623055,101358592,-2735537,0,0,0,49,12,3,Xizmat,Viloyat,-0.027737297328702705,0.0,1.0277372973287027,0.0,0
56929882,58727747,-1797865,470103308,13509724,49334391,19,6,7,Xizmat,Toshkent,-0.03158033947795641,8.25758444396565,1.0315803394779564,0.23730461974258088,1
264893830,284427402,-19533572,164122373,3847568,0,39,2,2,Ishlab chiqarish,Toshkent,-0.07374113621294992,0.6195779380742843,1.0737411362129499,0.014524943823719865,0
142189321,148971076,-6781755,175815152,7148703,24479166,33,2,8,Savdo,Toshkent,-0.04769524850603935,1.2364863321908683,1.0476952485060393,0.05027594864174082,1
28880261,28125542,754719,0,0,26661100,37,15,0,Xizmat,Toshkent,0.026132693191380785,0.0,0.9738673068086192,0.0,0
86112009,64638897,21473112,181996639,8930876,16770931,22,5,5,Xizmat,Viloyat,0.2493625714852385,2.11348731859223,0.7506374285147616,0.10371231729130835,1
124972615,151053375,-26080760,268389969,11491114,0,21,3,4,Savdo,Viloyat,-0.20869180019958772,2.1475902460711094,1.2086918001995877,0.09194905619923213,1
142358696,194600808,-52242112,348021663,7526359,54278601,49,10,7,Savdo,Viloyat,-0.3669752074716953,2.444681447489516,1.3669752074716952,0.052868979637183525,1
114527799,146147439,-31619640,0,0,0,46,14,2,Savdo,Toshkent,-0.276087031062214,0.0,1.2760870310622139,0.0,0
452465794,302730959,149734835,0,0,17722706,70,9,4,Ishlab chiqarish,Toshkent,0.3309307288762695,0.0,0.6690692711237305,0.0,0
70065367,65144673,4920694,0,0,29991933,50,13,6,Xizmat,Viloyat,0.07023004675048658,0.0,0.9297699532495134,0.0,0
49307285,42210069,7097216,454302994,20878774,15983644,49,10,5,Ishlab chiqarish,Viloyat,0.14393848698016937,9.213709373777121,0.8560615130198307,0.42344197211426265,1
57473167,73986307,-16513140,0,0,11676225,46,12,6,Xizmat,Viloyat,-0.28731912407054233,0.0,1.2873191240705424,0.0,1
479819435,301493805,178325630,153882832,3537974,31029959,23,12,6,Ishlab chiqarish,Toshkent,0.3716515359574795,0.32070987703947423,0.6283484640425205,0.007373552928301039,0
94654188,79052632,15601556,278644005,8319465,23627682,21,4,10,Savdo,Viloyat,0.164826895984782,2.943810632024016,0.835173104015218,0.08789325835218194,1
463463742,480909662,-17445920,148522035,7329582,72530096,17,15,7,Ishlab chiqarish,Toshkent,-0.03764246999067297,0.32046095851873563,1.037642469990673,0.015814790534358563,1
