oylik_daromad,oylik_xarajat,qarz_miqdori,kredit_oylik_tolovi,biznes_yoshi,kech_tolovlar,soliq_qarzi,soha,hudud,naqd_ulushi,mavsumiylik,xodimlar_soni,import_bogliq,valyuta_kurs_xavfi,risk_score,bankrot
42535387,28602747,4154709,23967,0,1,0,Ishlab chiqarish,Toshkent,0.66,0,65,0,0.3,17,0
133132743,91741154,81012635,866110,10,1,7224068,Ishlab chiqarish,Viloyat,0.44,0,13,1,0.57,51,0
17204088,14074906,11719098,91866,6,1,0,Xizmat,Viloyat,0.68,1,99,0,0.46,44,0
81516940,78831381,9281344,71137,5,8,0,Savdo,Viloyat,0.73,0,21,0,0.39,75,1
119926530,112491079,19228258,100770,6,10,34502842,Xizmat,Toshkent,0.4,1,114,0,0.15,57,1
209713733,209485447,58631839,389603,3,2,0,Savdo,Viloyat,0.31,0,102,0,0.28,87,1
263837982,276518217,97720322,1200307,10,1,20696460,Ishlab chiqarish,Toshkent,0.75,1,21,0,0.01,93,1
187024501,184267626,39071541,382593,10,7,0,Xizmat,Toshkent,0.78,0,119,0,0.08,68,1
23061540,19225909,1271381,13335,4,10,0,Xizmat,Toshkent,0.62,0,34,0,0.54,38,0
219144512,194127737,57283137,672911,7,9,0,Ishlab chiqarish,Toshkent,0.29,0,10,0,0.14,42,0
37127958,36378630,1841552,12494,7,7,55190206,Savdo,Toshkent,0.34,1,25,0,0.12,100,1
19899878,20737316,1370952,10994,14,2,0,Xizmat,Viloyat,0.42,0,36,0,0.47,82,1
241726965,199464064,8559994,106953,5,6,33590824,Savdo,Viloyat,0.9,0,28,0,0.53,37,1
87817395,82773574,17534890,179284,4,3,0,Savdo,Viloyat,0.71,1,8,0,0.43,53,0
201013954,169271598,70755960,806292,2,9,0,Ishlab chiqarish,Toshkent,0.31,0,52,1,0.97,46,1
378824743,332868218,149885360,1105070,12,2,46076367,Ishlab chiqarish,Toshkent,0.47,1,59,1,0.75,49,1
164459082,136747204,11509977,103961,7,5,0,Savdo,Toshkent,0.49,0,57,1,0.35,28,0
490280124,343043794,227672411,2741625,8,4,0,Ishlab chiqarish,Toshkent,0.32,0,92,1,0.34,35,0
283220655,283976357,167743833,954837,8,2,50743164,Ishlab chiqarish,Viloyat,0.25,0,71,1,0.46,100,1
331939223,243845206,128383325,1055747,11,3,0,Ishlab chiqarish,Toshkent,0.9,0,86,1,0.52,16,0
366414546,371134665,60720801,377608,10,6,0,Ishlab chiqarish,Viloyat,0.54,0,35,0,0.1,94,1
62730741,63309491,15354032,171259,10,4,0,Savdo,Viloyat,0.71,1,99,0,0.12,89,1
421481396,344817245,277109686,1625265,1,1,41035219,Ishlab chiqarish,Viloyat,0.92,1,45,0,0.1,54,0
299342592,193087762,9300746,76921,11,6,5695862,Ishlab chiqarish,Toshkent,0.73,0,80,0,0.44,24,0
135509127,102200503,38170247,275490,9,6,0,Savdo,Viloyat,0.91,0,39,1,0.57,31,0
258973482,229920183,92666356,1014976,10,1,0,Ishlab chiqarish,Viloyat,0.71,1,87,0,0.4,20,0
17614015,18353240,7536892,81124,15,6,0,Savdo,Toshkent,0.65,1,84,1,0.91,100,1
61455832,63237007,22282067,119802,10,7,42114401,Savdo,Viloyat,0.57,1,107,1,0.89,100,1
156919817,145290237,92253791,653141,2,4,16736597,Xizmat,Toshkent,0.42,1,43,0,0.27,61,1
174336807,114535174,50628721,378784,0,9,26526938,Savdo,Viloyat,0.83,1,1,1,0.3,62,0
115665703,106102119,64762120,759891,10,10,46576440,Xizmat,Viloyat,0.59,1,93,0,0.15,53,1
284228615,250547489,16702189,137201,6,7,22934250,Ishlab chiqarish,Toshkent,0.43,1,98,0,0.1,45,0
76989221,60448350,40366756,217602,0,3,0,Xizmat,Viloyat,0.3,0,80,0,0.12,45,0
339732372,317122859,39902382,381241,3,9,2723249,Ishlab chiqarish,Toshkent,0.82,1,74,0,0.06,50,0
50609417,45310975,22221060,128087,1,5,36751928,Xizmat,Viloyat,0.67,0,85,0,0.47,65,1
31943192,23353476,19935826,168418,15,7,30230909,Xizmat,Viloyat,0.62,1,42,1,0.38,54,0
237460734,219707728,94721840,948299,6,5,54541623,Savdo,Viloyat,0.48,1,44,1,0.62,74,1
396805626,235228946,200010774,1732960,14,0,7244704,Ishlab chiqarish,Toshkent,0.7,1,29,0,0.38,18,0
187362461,147384978,69632387,570378,9,4,0,Savdo,Viloyat,0.74,1,93,0,0.18,17,0
136948153,108476535,69461404,856080,9,3,0,Ishlab chiqarish,Toshkent,0.32,0,39,0,0.16,32,1
177917284,102705066,36383310,439534,9,7,33125966,Ishlab chiqarish,Toshkent,0.32,0,44,0,0.41,40,0
26377161,15484477,11622093,62783,3,8,52300931,Xizmat,Toshkent,0.46,0,78,1,0.67,55,0
349878933,351366684,72826317,685582,6,10,15161661,Ishlab chiqarish,Toshkent,0.29,0,85,1,0.68,100,1
141815893,120104673,28913637,194764,8,10,0,Savdo,Toshkent,0.57,0,55,0,0.39,20,0
105533248,61811342,12257259,89564,14,4,47958332,Savdo,Toshkent,0.45,0,35,0,0.31,29,0
192792946,130170703,12325025,150541,1,2,32574775,Savdo,Viloyat,0.92,1,118,0,0.32,41,0
380122205,393246919,125062971,1008334,15,4,45465228,Ishlab chiqarish,Viloyat,0.36,1,105,1,0.33,100,1
39460000,29677373,14214177,176410,11,9,51764040,Xizmat,Viloyat,0.54,0,81,0,0.3,36,0
99231022,100604020,30432295,311531,5,4,0,Savdo,Toshkent,0.68,0,71,1,0.98,90,1
42027448,26350603,27437919,197250,7,7,0,Savdo,Viloyat,0.59,1,50,0,0.23,45,1
65116479,61535273,18913712,227094,15,2,30967288,Ishlab chiqarish,Toshkent,0.45,1,45,0,0.45,71,1
84413098,56285068,45826278,244132,4,7,0,Xizmat,Toshkent,0.82,1,65,0,0.39,32,0
133038646,133733219,1429276,8691,10,9,47486618,Xizmat,Toshkent,0.3,1,84,0,0.53,100,1
191279164,190077804,65333930,591769,7,1,0,Ishlab chiqarish,Viloyat,0.73,1,98,0,0.13,70,1
55942689,56038464,1801000,19758,5,2,0,Savdo,Viloyat,0.35,1,79,1,0.53,100,1
171900303,116374557,30723516,155782,2,7,24190516,Ishlab chiqarish,Toshkent,0.72,0,82,0,0.5,36,0
281529299,182883825,75811694,653804,0,10,27562073,Ishlab chiqarish,Viloyat,0.65,1,2,1,0.68,63,0
